St;Max;St;Anz1
19491;87712;19491;137
19492;24676;19492;124
19493;58480;19493;124
19494;43864;19494;124
19495;148048;19495;124
19496;19496;19496;137
19497;222100;19497;168
19498;29248;19498;137
19499;87748;19499;49
19500;21940;19500;124
19501;58504;19501;124
19502;65824;19502;124
19503;197476;19503;124
19504;19504;19504;137
19505;58516;19505;124
19506;32920;19506;124
19507;87784;19507;124
19508;19508;19508;137
19509;58528;19509;137
19510;166696;19510;62
19511;166696;19511;62
19512;19512;19512;137
19513;65860;19513;124
19514;29272;19514;137
19515;98800;19515;155
19516;49408;19516;137
19517;58552;19517;137
19518;148228;19518;155
19519;444688;19519;155
19520;19520;19520;44
19521;58564;19521;49
19522;29284;19522;49
19523;87856;19523;49
19524;19524;19524;137
19525;58576;19525;137
19526;43936;19526;137
19527;131812;19527;129
19528;19528;19528;75
19529;400948;19529;168
19530;29296;19530;75
19531;87892;19531;137
19532;21976;19532;75
19533;58600;19533;75
19534;74176;19534;75
19535;197800;19535;75
19536;19536;19536;44
19537;58612;19537;75
19538;281716;19538;106
19539;281716;19539;106
19540;19540;19540;44
19541;58624;19541;44
19542;43972;19542;137
19543;131920;19543;137
19544;19544;19544;49
19545;70468;19545;106
19546;29320;19546;49
19547;250504;19547;106
19548;32992;19548;49
19549;58648;19549;49
19550;634228;19550;155
19551;634228;19551;155
19552;19552;19552;44
19553;74248;19553;75
19554;29332;19554;49
19555;88000;19555;49
19556;20896;19556;49
19557;58672;19557;49
19558;44008;19558;49
19559;1268944;19559;80
19560;19560;19560;44
19561;237976;19561;80
19562;29344;19562;44
19563;100420;19563;80
19564;225988;19564;181
19565;225988;19565;181
19566;225988;19566;181
19567;1355668;19567;181
19568;19568;19568;137
19569;58708;19569;44
19570;190996;19570;199
19571;190996;19571;199
19572;19572;19572;137
19573;58720;19573;137
19574;190996;19574;199
19575;190996;19575;199
19576;24784;19576;137
19577;111508;19577;75
19578;29368;19578;137
19579;190996;19579;199
19580;74356;19580;75
19581;74356;19581;75
19582;223072;19582;75
19583;952864;19583;106
19584;19584;19584;44
19585;79432;19585;168
19586;29380;19586;168
19587;88144;19587;168
19588;19588;19588;168
19589;58768;19589;168
19590;44080;19590;168
19591;132244;19591;150
19592;19592;19592;137
19593;2480056;19593;274
19594;29392;19594;137
19595;88180;19595;137
19596;22048;19596;137
19597;58792;19597;137
19598;66148;19598;49
19599;198448;19599;49
19600;19600;19600;137
19601;58804;19601;106
19602;49624;19602;106
19603;88216;19603;106
19604;19604;19604;137
19605;58816;19605;137
19606;44116;19606;137
19607;132352;19607;137
19608;19608;19608;137
19609;66184;19609;168
19610;29416;19610;137
19611;715696;19611;199
19612;59668;19612;106
19613;59668;19613;106
19614;99304;19614;106
19615;8153620;19615;155
19616;19616;19616;44
19617;424276;19617;106
19618;29428;19618;168
19619;88288;19619;168
19620;55888;19620;168
19621;58864;19621;168
19622;55888;19622;168
19623;251476;19623;124
19624;19624;19624;44
19625;503008;19625;150
19626;29440;19626;44
19627;88324;19627;168
19628;22084;19628;137
19629;58888;19629;137
19630;66256;19630;137
19631;198772;19631;106
19632;19632;19632;137
19633;58900;19633;137
19634;33136;19634;137
19635;88360;19635;137
19636;19636;19636;137
19637;58912;19637;137
19638;83896;19638;75
19639;132568;19639;75
19640;19640;19640;137
19641;66292;19641;75
19642;29464;19642;137
19643;125872;19643;75
19644;59776;19644;124
19645;59776;19645;124
19646;149200;19646;124
19647;447604;19647;106
19648;19648;19648;44
19649;58948;19649;49
19650;37312;19650;49
19651;88432;19651;49
19652;19652;19652;137
19653;58960;19653;137
19654;44224;19654;137
19655;132676;19655;137
19656;19656;19656;137
19657;99520;19657;49
19658;29488;19658;137
19659;88468;19659;49
19660;22120;19660;137
19661;58984;19661;137
19662;255472;19662;106
19663;255472;19663;106
19664;19664;19664;44
19665;63016;19665;49
19666;74680;19666;49
19667;88504;19667;49
19668;19668;19668;44
19669;59008;19669;44
19670;53188;19670;168
19671;132784;19671;168
19672;95956;19672;106
19673;95956;19673;106
19674;95956;19674;106
19675;149416;19675;49
19676;95956;19676;106
19677;95956;19677;106
19678;112084;19678;49
19679;298888;19679;49
19680;19680;19680;75
19681;359152;19681;137
19682;29524;19682;44
19683;88576;19683;44
19684;19684;19684;75
19685;59056;19685;75
19686;44296;19686;75
19687;224260;19687;106
19688;19688;19688;75
19689;575728;19689;199
19690;29536;19690;75
19691;189268;19691;49
19692;24928;19692;75
19693;59080;19693;75
19694;66472;19694;75
19695;3234328;19695;106
19696;19696;19696;75
19697;59092;19697;75
19698;56104;19698;75
19699;88648;19699;75
19700;19700;19700;75
19701;59104;19701;75
19702;49876;19702;75
19703;133000;19703;75
19704;250504;19704;212
19705;269728;19705;199
19706;250504;19706;212
19707;284128;19707;199
19708;250504;19708;212
19709;250504;19709;212
19710;959092;19710;98
19711;1010392;19711;98
19712;19712;19712;31
19713;59140;19713;62
19714;94768;19714;62
19715;94768;19715;62
19716;19716;19716;44
19717;59152;19717;44
19718;44368;19718;44
19719;284308;19719;98
19720;19720;19720;75
19721;99844;19721;62
19722;29584;19722;75
19723;88756;19723;62
19724;22192;19724;75
19725;59176;19725;75
19726;66580;19726;75
19727;199744;19727;75
19728;19728;19728;137
19729;59188;19729;75
19730;84292;19730;98
19731;88792;19731;98
19732;19732;19732;137
19733;59200;19733;137
19734;44404;19734;75
19735;133216;19735;75
19736;19736;19736;137
19737;66616;19737;75
19738;29608;19738;137
19739;505924;19739;212
19740;144340;19740;199
19741;144340;19741;199
19742;144340;19742;199
19743;299860;19743;75
19744;19744;19744;137
19745;59236;19745;137
19746;29620;19746;137
19747;88864;19747;137
19748;25000;19748;137
19749;59248;19749;137
19750;44440;19750;137
19751;149992;19751;168
19752;19752;19752;137
19753;427192;19753;62
19754;29632;19754;137
19755;88900;19755;124
19756;22228;19756;137
19757;59272;19757;137
19758;66688;19758;137
19759;320488;19759;98
19760;19760;19760;137
19761;59284;19761;168
19762;33352;19762;168
19763;88936;19763;168
19764;19764;19764;137
19765;59296;19765;137
19766;126664;19766;168
19767;133432;19767;168
19768;19768;19768;137
19769;190024;19769;124
19770;29656;19770;137
19771;100096;19771;137
19772;50056;19772;137
19773;59320;19773;137
19774;975400;19774;243
19775;975400;19775;243
19776;19776;19776;31
19777;59332;19777;137
19778;29668;19778;124
19779;89008;19779;124
19780;19780;19780;124
19781;59344;19781;124
19782;44512;19782;124
19783;253528;19783;75
19784;42280;19784;124
19785;100168;19785;75
19786;42280;19786;124
19787;89044;19787;124
19788;42280;19788;124
19789;59368;19789;124
19790;84544;19790;124
19791;200392;19791;124
19792;19792;19792;31
19793;481624;19793;243
19794;481624;19794;243
19795;481624;19795;243
19796;19796;19796;31
19797;59392;19797;31
19798;67768;19798;98
19799;133648;19799;98
19800;23812;19800;75
19801;66832;19801;137
19802;29704;19802;75
19803;150388;19803;98
19804;33424;19804;75
19805;59416;19805;75
19806;100276;19806;75
19807;300832;19807;75
19808;19808;19808;137
19809;75220;19809;137
19810;29716;19810;44
19811;89152;19811;44
19812;19812;19812;44
19813;59440;19813;44
19814;44584;19814;44
19815;857032;19815;98
19816;19816;19816;137
19817;150496;19817;75
19818;29728;19818;137
19819;214324;19819;124
19820;37636;19820;75
19821;59464;19821;75
19822;66904;19822;75
19823;225808;19823;168
19824;19824;19824;137
19825;59476;19825;137
19826;33460;19826;49
19827;89224;19827;49
19828;19828;19828;137
19829;59488;19829;137
19830;50200;19830;49
19831;133864;19831;49
19832;25108;19832;49
19833;254176;19833;168
19834;29752;19834;49
19835;100420;19835;49
19836;75328;19836;49
19837;75328;19837;49
19838;225988;19838;150
19839;677968;19839;150
19840;19840;19840;93
19841;59524;19841;49
19842;29764;19842;137
19843;89296;19843;137
19844;80512;19844;75
19845;80512;19845;75
19846;80512;19846;75
19847;133972;19847;137
19848;19848;19848;44
19849;113056;19849;49
19850;29776;19850;44
19851;89332;19851;75
19852;22336;19852;44
19853;59560;19853;44
19854;67012;19854;137
19855;201040;19855;137
19856;19856;19856;44
19857;59572;19857;137
19858;50272;19858;137
19859;89368;19859;137
19860;19860;19860;44
19861;59584;19861;44
19862;44692;19862;119
19863;134080;19863;119
19864;19864;19864;44
19865;67048;19865;119
19866;29800;19866;44
19867;305908;19867;124
19868;190996;19868;168
19869;190996;19869;168
19870;190996;19870;168
19871;381976;19871;119
19872;19872;19872;93
19873;59620;19873;49
19874;29812;19874;75
19875;89440;19875;75
19876;37744;19876;75
19877;59632;19877;75
19878;44728;19878;75
19879;150964;19879;168
19880;19880;19880;93
19881;339712;19881;75
19882;29824;19882;93
19883;497176;19883;274
19884;22372;19884;75
19885;59656;19885;75
19886;67120;19886;75
19887;201364;19887;119
19888;19888;19888;75
19889;59668;19889;75
19890;33568;19890;75
19891;89512;19891;75
19892;19892;19892;75
19893;59680;19893;75
19894;75544;19894;137
19895;134296;19895;137
19896;19896;19896;75
19897;67156;19897;75
19898;29848;19898;75
19899;100744;19899;75
19900;56680;19900;75
19901;59704;19901;75
19902;151144;19902;75
19903;6980632;19903;150
19904;19904;19904;93
19905;71764;19905;75
19906;85048;19906;75
19907;89584;19907;75
19908;19908;19908;93
19909;59728;19909;93
19910;44800;19910;93
19911;134404;19911;75
19912;19912;19912;44
19913;100816;19913;75
19914;29872;19914;44
19915;89620;19915;75
19916;22408;19916;44
19917;59752;19917;44
19918;127636;19918;75
19919;201688;19919;75
19920;19920;19920;93
19921;59764;19921;44
19922;107728;19922;75
19923;107728;19923;75
19924;19924;19924;93
19925;59776;19925;93
19926;56752;19926;75
19927;134512;19927;75
19928;45520;19928;106
19929;67264;19929;106
19930;45520;19930;106
19931;151360;19931;75
19932;45520;19932;106
19933;59800;19933;106
19934;255472;19934;75
19935;302776;19935;75
19936;19936;19936;137
19937;113560;19937;75
19938;29908;19938;93
19939;89728;19939;93
19940;345544;19940;119
19941;345544;19941;119
19942;345544;19942;119
19943;227176;19943;75
19944;19944;19944;137
19945;323512;19945;119
19946;29920;19946;137
19947;647080;19947;119
19948;182068;19948;168
19949;182068;19949;168
19950;182068;19950;168
19951;984148;19951;212
19952;19952;19952;137
19953;59860;19953;137
19954;37888;19954;44
19955;89800;19955;44
19956;19956;19956;137
19957;59872;19957;137
19958;85264;19958;75
19959;134728;19959;75
19960;95956;19960;75
19961;75796;19961;75
19962;95956;19962;75
19963;113704;19963;75
19964;170584;19964;75
19965;170584;19965;75
19966;575728;19966;168
19967;1535272;19967;168
19968;19968;19968;44
19969;129760;19969;212
19970;29956;19970;93
19971;89872;19971;93
19972;21688;19972;168
19973;59920;19973;168
19974;44944;19974;168
19975;134836;19975;168
19976;19976;19976;93
19977;101140;19977;168
19978;29968;19978;93
19979;89908;19979;168
19980;22480;19980;93
19981;59944;19981;93
19982;67444;19982;168
19983;202336;19983;168
19984;250504;19984;181
19985;59956;19985;93
19986;96064;19986;75
19987;96064;19987;75
19988;250504;19988;181
19989;250504;19989;181
19990;44980;19990;67
19991;134944;19991;67
19992;250504;19992;181
19993;67480;19993;67
19994;250504;19994;181
19995;341656;19995;67
19996;33748;19996;93
19997;59992;19997;93
19998;101248;19998;93
19999;324376;19999;67
20000;20000;20000;31
20001;60004;20001;168
20002;250504;20002;181
20003;250504;20003;181
20004;32056;20004;67
20005;60016;20005;67
20006;45016;20006;67
20007;151936;20007;93
20008;20008;20008;31
20009;384640;20009;168
20010;30016;20010;31
20011;250504;20011;181
20012;250504;20012;181
20013;250504;20013;181
20014;250504;20014;181
20015;486952;20015;67
20016;20016;20016;31
20017;144340;20017;168
20018;144340;20018;168
20019;144340;20019;168
20020;20020;20020;31
20021;60064;20021;31
20022;2633632;20022;212
20023;2633632;20023;212
20024;20024;20024;67
20025;67588;20025;137
20026;30040;20026;67
20027;101392;20027;67
20028;50704;20028;67
20029;60088;20029;67
20030;152116;20030;67
20031;456352;20031;67
20032;20032;20032;137
20033;60100;20033;93
20034;30052;20034;93
20035;90160;20035;93
20036;20036;20036;93
20037;60112;20037;93
20038;45088;20038;93
20039;135268;20039;67
20040;20040;20040;93
20041;146500;20041;212
20042;30064;20042;93
20043;90196;20043;93
20044;22552;20044;93
20045;60136;20045;93
20046;76120;20046;67
20047;202984;20047;67
20048;20048;20048;137
20049;60148;20049;93
20050;114208;20050;93
20051;114208;20051;93
20052;20052;20052;137
20053;60160;20053;137
20054;45124;20054;93
20055;135376;20055;93
20056;20056;20056;44
20057;67696;20057;49
20058;30088;20058;44
20059;171376;20059;119
20060;33856;20060;44
20061;60184;20061;44
20062;101572;20062;49
20063;304720;20063;49
20064;20064;20064;137
20065;76192;20065;93
20066;30100;20066;44
20067;90304;20067;44
20068;20068;20068;44
20069;60208;20069;44
20070;45160;20070;44
20071;342952;20071;49
20072;20072;20072;137
20073;846916;20073;155
20074;30112;20074;137
20075;90340;20075;93
20076;57184;20076;67
20077;60232;20077;67
20078;67768;20078;67
20079;228724;20079;119
20080;20080;20080;93
20081;60244;20081;137
20082;33892;20082;67
20083;90376;20083;67
20084;20084;20084;93
20085;60256;20085;93
20086;50848;20086;44
20087;135592;20087;44
20088;25432;20088;93
20089;217240;20089;119
20090;30136;20090;93
20091;101716;20091;44
20092;85840;20092;93
20093;85840;20093;93
20094;228904;20094;93
20095;4399972;20095;243
20096;20096;20096;44
20097;128788;20097;93
20098;30148;20098;137
20099;90448;20099;137
20100;39364;20100;119
20101;60304;20101;119
20102;45232;20102;119
20103;135700;20103;119
20104;20104;20104;137
20105;1100608;20105;106
20106;30160;20106;137
20107;90484;20107;119
20108;22624;20108;137
20109;60328;20109;137
20110;85912;20110;93
20111;203632;20111;93
20112;20112;20112;44
20113;60340;20113;119
20114;50920;20114;119
20115;90520;20115;119
20116;20116;20116;44
20117;60352;20117;44
20118;45268;20118;137
20119;135808;20119;137
20120;20120;20120;44
20121;96712;20121;75
20122;30184;20122;44
20123;619648;20123;150
20124;103336;20124;119
20125;103336;20125;119
20126;103336;20126;119
20127;515860;20127;119
20128;20128;20128;44
20129;275560;20129;119
20130;30196;20130;44
20131;90592;20131;44
20132;86020;20132;93
20133;86020;20133;93
20134;86020;20134;93
20135;2480056;20135;212
20136;20136;20136;44
20137;774196;20137;119
20138;30208;20138;44
20139;90628;20139;93
20140;22660;20140;137
20141;60424;20141;137
20142;67984;20142;137
20143;203956;20143;93
20144;20144;20144;88
20145;60436;20145;137
20146;34000;20146;137
20147;90664;20147;137
20148;20148;20148;88
20149;60448;20149;88
20150;76516;20150;93
20151;136024;20151;93
20152;20152;20152;88
20153;68020;20153;93
20154;30232;20154;88
20155;102040;20155;93
20156;51028;20156;137
20157;60472;20157;137
20158;153088;20158;137
20159;497176;20159;243
20160;20160;20160;44
20161;60484;20161;88
20162;43072;20162;88
20163;90736;20163;88
20164;20164;20164;44
20165;60496;20165;44
20166;45376;20166;44
20167;136132;20167;88
20168;20168;20168;44
20169;102112;20169;88
20170;30256;20170;44
20171;6810136;20171;212
20172;22696;20172;44
20173;60520;20173;44
20174;2484916;20174;225
20175;2484916;20175;225
20176;20176;20176;44
20177;60532;20177;137
20178;76624;20178;137
20179;90808;20179;137
20180;20180;20180;44
20181;60544;20181;44
20182;45412;20182;49
20183;136240;20183;49
20184;20184;20184;137
20185;68128;20185;137
20186;30280;20186;137
20187;184192;20187;168
20188;34072;20188;137
20189;60568;20189;137
20190;560356;20190;150
20191;560356;20191;150
20192;20192;20192;44
20193;172528;20193;168
20194;30292;20194;44
20195;90880;20195;44
20196;20196;20196;88
20197;60592;20197;88
20198;45448;20198;88
20199;258856;20199;49
20200;20200;20200;44
20201;153412;20201;88
20202;30304;20202;44
20203;115072;20203;137
20204;25576;20204;88
20205;60616;20205;88
20206;68200;20206;88
20207;517912;20207;88
20208;138400;20208;181
20209;60628;20209;44
20210;599056;20210;137
20211;599056;20211;137
20212;138400;20212;181
20213;138400;20213;181
20214;51172;20214;88
20215;136456;20215;88
20216;138400;20216;181
20217;76768;20217;88
20218;138400;20218;181
20219;172744;20219;88
20220;145780;20220;88
20221;145780;20221;88
20222;345544;20222;88
20223;1749328;20223;88
20224;20224;20224;44
20225;60676;20225;44
20226;30340;20226;137
20227;91024;20227;137
20228;20228;20228;75
20229;60688;20229;75
20230;45520;20230;75
20231;136564;20231;137
20232;20232;20232;75
20233;129652;20233;212
20234;30352;20234;75
20235;91060;20235;181
20236;22768;20236;75
20237;60712;20237;75
20238;68308;20238;75
20239;204928;20239;75
20240;20240;20240;44
20241;60724;20241;75
20242;57652;20242;181
20243;91096;20243;181
20244;20244;20244;44
20245;60736;20245;44
20246;45556;20246;181
20247;136672;20247;181
20248;20248;20248;44
20249;129760;20249;181
20250;30376;20250;44
20251;1167856;20251;212
20252;34180;20252;137
20253;60760;20253;137
20254;102544;20254;137
20255;1052512;20255;173
20256;20256;20256;36
20257;60772;20257;75
20258;30388;20258;75
20259;91168;20259;75
20260;25648;20260;75
20261;60784;20261;75
20262;45592;20262;75
20263;153880;20263;62
20264;20264;20264;36
20265;230848;20265;62
20266;30400;20266;36
20267;91204;20267;75
20268;22804;20268;36
20269;60808;20269;36
20270;68416;20270;36
20271;205252;20271;75
20272;20272;20272;36
20273;60820;20273;36
20274;34216;20274;36
20275;91240;20275;36
20276;20276;20276;36
20277;60832;20277;36
20278;115504;20278;62
20279;136888;20279;62
20280;61720;20280;88
20281;68452;20281;75
20282;61720;20282;88
20283;102688;20283;88
20284;61720;20284;88
20285;61720;20285;88
20286;173320;20286;119
20287;462184;20287;119
20288;20288;20288;44
20289;60868;20289;36
20290;30436;20290;36
20291;91312;20291;36
20292;20292;20292;36
20293;60880;20293;36
20294;45664;20294;36
20295;173392;20295;75
20296;21688;20296;137
20297;102760;20297;137
20298;30448;20298;137
20299;91348;20299;36
20300;22840;20300;137
20301;60904;20301;137
20302;250504;20302;150
20303;250504;20303;150
20304;20304;20304;44
20305;60916;20305;137
20306;494080;20306;62
20307;494080;20307;62
20308;20308;20308;44
20309;60928;20309;44
20310;164752;20310;88
20311;164752;20311;88
20312;32560;20312;181
20313;68560;20313;181
20314;32560;20314;181
20315;1482784;20315;93
20316;34288;20316;181
20317;60952;20317;181
20318;102868;20318;181
20319;308608;20319;181
20320;20320;20320;36
20321;146500;20321;181
20322;30484;20322;44
20323;91456;20323;44
20324;20324;20324;44
20325;60976;20325;44
20326;45736;20326;44
20327;9635920;20327;243
20328;20328;20328;36
20329;154384;20329;75
20330;30496;20330;36
20331;91492;20331;75
20332;38608;20332;88
20333;61000;20333;88
20334;68632;20334;88
20335;742120;20335;181
20336;20336;20336;36
20337;61012;20337;36
20338;34324;20338;88
20339;91528;20339;88
20340;20340;20340;36
20341;61024;20341;36
20342;51496;20342;88
20343;137320;20343;88
20344;48904;20344;181
20345;173824;20345;88
20346;48904;20346;181
20347;103012;20347;75
20348;77272;20348;181
20349;77272;20349;181
20350;260800;20350;181
20351;695464;20351;181
20352;20352;20352;62
20353;61060;20353;137
20354;30532;20354;36
20355;91600;20355;36
20356;28996;20356;88
20357;61072;20357;88
20358;45808;20358;88
20359;137428;20359;36
20360;20360;20360;44
20361;115972;20361;88
20362;30544;20362;44
20363;91636;20363;88
20364;22912;20364;44
20365;61096;20365;44
20366;69712;20366;88
20367;206224;20367;88
20368;20368;20368;36
20369;61108;20369;36
20370;51568;20370;36
20371;91672;20371;36
20372;20372;20372;36
20373;61120;20373;36
20374;45844;20374;36
20375;137536;20375;36
20376;20376;20376;36
20377;68776;20377;36
20378;30568;20378;36
20379;232144;20379;75
20380;58048;20380;75
20381;61144;20381;75
20382;103192;20382;75
20383;8153620;20383;199
20384;20384;20384;62
20385;61156;20385;75
20386;30580;20386;36
20387;91744;20387;36
20388;98008;20388;181
20389;98008;20389;181
20390;98008;20390;181
20391;154852;20391;137
20392;20392;20392;62
20393;392020;20393;88
20394;30592;20394;62
20395;91780;20395;88
20396;176740;20396;119
20397;176740;20397;119
20398;176740;20398;119
20399;206548;20399;119
20400;39364;20400;88
20401;61204;20401;44
20402;34432;20402;44
20403;91816;20403;44
20404;39364;20404;88
20405;61216;20405;88
20406;77488;20406;181
20407;137752;20407;181
20408;39364;20408;88
20409;68884;20409;88
20410;39364;20410;88
20411;103336;20411;88
20412;87208;20412;88
20413;87208;20413;88
20414;155032;20414;88
20415;523240;20415;168
20416;20416;20416;62
20417;61252;20417;88
20418;65428;20418;88
20419;91888;20419;88
20420;20420;20420;62
20421;61264;20421;62
20422;45952;20422;62
20423;137860;20423;88
20424;1276936;20424;181
20425;209680;20425;181
20426;1276936;20426;181
20427;91924;20427;44
20428;1276936;20428;181
20429;1276936;20429;181
20430;116368;20430;150
20431;206872;20431;150
20432;20432;20432;62
20433;1276936;20433;181
20434;314656;20434;93
20435;314656;20435;93
20436;20436;20436;62
20437;61312;20437;62
20438;118096;20438;88
20439;137968;20439;88
20440;20440;20440;62
20441;68992;20441;62
20442;30664;20442;62
20443;155248;20443;150
20444;34504;20444;62
20445;61336;20445;62
20446;1276936;20446;181
20447;1276936;20447;181
20448;41524;20448;137
20449;1119472;20449;243
20450;30676;20450;62
20451;92032;20451;62
20452;32776;20452;137
20453;61360;20453;137
20454;46024;20454;137
20455;233008;20455;36
20456;41524;20456;137
20457;262168;20457;75
20458;41524;20458;137
20459;196648;20459;75
20460;29140;20460;62
20461;61384;20461;62
20462;69064;20462;62
20463;349648;20463;137
20464;65608;20464;137
20465;61396;20465;137
20466;43720;20466;181
20467;92104;20467;181
20468;65608;20468;137
20469;65608;20469;137
20470;560356;20470;119
20471;560356;20471;119
20472;897856;20472;119
20473;166048;20473;137
20474;897856;20474;119
20475;131200;20475;62
20476;897856;20476;119
20477;897856;20477;119
20478;1992904;20478;243
20479;5314408;20479;243
20480;20480;20480;18
20481;61444;20481;181
20482;83104;20482;181
20483;92176;20483;181
20484;20484;20484;44
20485;61456;20485;44
20486;46096;20486;44
20487;138292;20487;181
20488;20488;20488;150
20489;103732;20489;181
20490;30736;20490;150
20491;92212;20491;44
20492;23056;20492;150
20493;61480;20493;150
20494;69172;20494;44
20495;207520;20495;44
20496;20496;20496;57
20497;61492;20497;150
20498;51892;20498;62
20499;92248;20499;62
20500;20500;20500;57
20501;61504;20501;57
20502;46132;20502;150
20503;138400;20503;150
20504;20504;20504;57
20505;69208;20505;62
20506;30760;20506;57
20507;350404;20507;119
20508;34612;20508;150
20509;61528;20509;150
20510;103840;20510;150
20511;311524;20511;181
20512;20512;20512;57
20513;61540;20513;181
20514;30772;20514;57
20515;92320;20515;57
20516;25972;20516;150
20517;61552;20517;150
20518;46168;20518;150
20519;155824;20519;62
20520;20520;20520;57
20521;295864;20521;181
20522;30784;20522;57
20523;92356;20523;62
20524;23092;20524;57
20525;61576;20525;57
20526;69280;20526;57
20527;207844;20527;212
20528;20528;20528;57
20529;61588;20529;137
20530;34648;20530;137
20531;92392;20531;137
20532;20532;20532;57
20533;61600;20533;57
20534;175444;20534;150
20535;175444;20535;150
20536;20536;20536;150
20537;69316;20537;150
20538;30808;20538;150
20539;103984;20539;150
20540;52000;20540;150
20541;61624;20541;150
20542;156004;20542;62
20543;468016;20543;62
20544;20544;20544;31
20545;61636;20545;150
20546;30820;20546;150
20547;92464;20547;150
20548;20548;20548;57
20549;61648;20549;57
20550;46240;20550;57
20551;296296;20551;75
20552;20552;20552;57
20553;166696;20553;75
20554;30832;20554;57
20555;92500;20555;57
20556;23128;20556;57
20557;61672;20557;57
20558;78064;20558;150
20559;208168;20559;150
20560;20560;20560;31
20561;61684;20561;57
20562;117124;20562;137
20563;117124;20563;137
20564;20564;20564;31
20565;61696;20565;31
20566;46276;20566;88
20567;138832;20567;88
20568;20568;20568;57
20569;69424;20569;88
20570;30856;20570;57
20571;395440;20571;142
20572;34720;20572;57
20573;61720;20573;57
20574;104164;20574;150
20575;312496;20575;150
20576;20576;20576;31
20577;78136;20577;88
20578;30868;20578;62
20579;92608;20579;62
20580;20580;20580;62
20581;61744;20581;62
20582;46312;20582;62
20583;351700;20583;88
20584;20584;20584;31
20585;156328;20585;57
20586;30880;20586;31
20587;131920;20587;150
20588;250504;20588;119
20589;250504;20589;119
20590;250504;20590;119
20591;593728;20591;88
20592;20592;20592;150
20593;61780;20593;31
20594;34756;20594;57
20595;92680;20595;57
20596;20596;20596;150
20597;61792;20597;150
20598;52144;20598;62
20599;139048;20599;62
20600;26080;20600;150
20601;198016;20601;62
20602;30904;20602;150
20603;104308;20603;62
20604;237976;20604;93
20605;237976;20605;93
20606;237976;20606;93
20607;704212;20607;93
20608;20608;20608;106
20609;225988;20609;194
20610;30916;20610;150
20611;92752;20611;150
20612;24784;20612;150
20613;61840;20613;150
20614;46384;20614;150
20615;190996;20615;212
20616;20616;20616;31
20617;445876;20617;137
20618;30928;20618;31
20619;190996;20619;212
20620;23200;20620;31
20621;61864;20621;31
20622;111508;20622;88
20623;208816;20623;88
20624;20624;20624;150
20625;223072;20625;88
20626;223072;20626;88
20627;223072;20627;88
20628;20628;20628;150
20629;61888;20629;150
20630;46420;20630;31
20631;139264;20631;31
20632;20632;20632;150
20633;69640;20633;181
20634;30952;20634;150
20635;235060;20635;181
20636;39184;20636;150
20637;61912;20637;150
20638;104488;20638;150
20639;1357288;20639;119
20640;20640;20640;106
20641;88180;20641;150
20642;30964;20642;150
20643;92896;20643;150
20644;58804;20644;119
20645;61936;20645;119
20646;58804;20646;119
20647;595348;20647;163
20648;20648;20648;106
20649;529252;20649;62
20650;30976;20650;106
20651;92932;20651;150
20652;23236;20652;57
20653;61960;20653;57
20654;69712;20654;57
20655;209140;20655;150
20656;20656;20656;57
20657;61972;20657;57
20658;34864;20658;57
20659;92968;20659;57
20660;20660;20660;57
20661;61984;20661;57
20662;8153620;20662;168
20663;8153620;20663;168
20664;20664;20664;57
20665;69748;20665;181
20666;31000;20666;57
20667;104632;20667;181
20668;55888;20668;181
20669;62008;20669;181
20670;156976;20670;181
20671;470932;20671;137
20672;20672;20672;106
20673;62020;20673;150
20674;39256;20674;150
20675;93040;20675;150
20676;20676;20676;57
20677;62032;20677;57
20678;46528;20678;57
20679;139588;20679;150
20680;20680;20680;57
20681;104704;20681;57
20682;31024;20682;57
20683;93076;20683;150
20684;23272;20684;57
20685;62056;20685;57
20686;176740;20686;88
20687;209464;20687;88
20688;20688;20688;106
20689;62068;20689;150
20690;78568;20690;150
20691;93112;20691;150
20692;20692;20692;106
20693;62080;20693;106
20694;149200;20694;137
20695;149200;20695;137
20696;44224;20696;150
20697;69856;20697;150
20698;44224;20698;150
20699;157192;20699;62
20700;44224;20700;150
20701;62104;20701;150
20702;283336;20702;119
20703;314440;20703;119
20704;20704;20704;44
20705;398032;20705;150
20706;31060;20706;106
20707;93184;20707;106
20708;20708;20708;57
20709;62128;20709;57
20710;46600;20710;57
20711;235924;20711;62
20712;20712;20712;44
20713;255472;20713;119
20714;31072;20714;44
20715;117988;20715;181
20716;95956;20716;119
20717;95956;20717;119
20718;95956;20718;119
20719;796552;20719;62
20720;20720;20720;44
20721;62164;20721;44
20722;95956;20722;119
20723;95956;20723;119
20724;20724;20724;44
20725;62176;20725;44
20726;95956;20726;119
20727;139912;20727;119
20728;39364;20728;57
20729;112084;20729;62
20730;39364;20730;57
20731;1702276;20731;163
20732;118096;20732;57
20733;118096;20733;57
20734;1276936;20734;150
20735;1276936;20735;150
20736;20736;20736;31
20737;62212;20737;88
20738;31108;20738;88
20739;93328;20739;88
20740;20740;20740;44
20741;62224;20741;44
20742;46672;20742;44
20743;189268;20743;62
20744;20744;20744;44
20745;105028;20745;88
20746;31120;20746;44
20747;93364;20747;88
20748;23344;20748;44
20749;62248;20749;44
20750;70036;20750;88
20751;210112;20751;88
20752;20752;20752;106
20753;62260;20753;44
20754;133000;20754;88
20755;133000;20755;88
20756;20756;20756;106
20757;62272;20757;106
20758;250504;20758;225
