St;Max;St;Anz1
584;9232;584;119
585;2968;585;57
586;9232;586;119
587;9232;587;119
588;9232;588;119
589;9232;589;119
590;2248;590;57
591;5992;591;57
592;592;592;26
593;9232;593;75
594;9232;594;75
595;9232;595;75
596;596;596;26
597;1792;597;26
598;9232;598;119
599;9232;599;119
600;600;600;18
601;4372;601;57
602;904;602;18
603;5812;603;70
604;1024;604;18
605;1816;605;18
606;3076;606;44
607;9232;607;44
608;608;608;26
609;9232;609;132
610;916;610;39
611;2752;611;39
612;612;612;39
613;1840;613;39
614;1384;614;39
615;10528;615;70
616;616;616;26
617;9232;617;132
618;928;618;26
619;9232;619;132
620;9232;620;88
621;9232;621;88
622;9232;622;88
623;9232;623;132
624;624;624;39
625;1876;625;26
626;9232;626;132
627;9232;627;132
628;628;628;39
629;1888;629;39
630;1600;630;39
631;4264;631;39
632;808;632;39
633;3616;633;31
634;952;634;39
635;3220;635;31
636;9232;636;57
637;9232;637;57
638;9232;638;57
639;41524;639;132
640;640;640;13
641;2752;641;52
642;964;642;26
643;2896;643;26
644;9232;644;101
645;9232;645;101
646;9232;646;101
647;4372;647;39
648;648;648;26
649;9232;649;145
650;976;650;26
651;9232;651;101
652;736;652;26
653;1960;653;26
654;9232;654;145
655;9232;655;145
656;9232;656;114
657;1972;657;52
658;1672;658;52
659;2968;659;52
660;9232;660;114
661;9232;661;114
662;1492;662;26
663;4480;663;26
664;9232;664;114
665;2248;665;52
666;9232;666;114
667;21688;667;145
668;9232;668;70
669;9232;669;70
670;9232;670;70
671;39364;671;96
672;672;672;13
673;2752;673;65
674;9232;674;114
675;9232;675;114
676;4372;676;52
677;4372;677;52
678;4372;678;52
679;5812;679;65
680;680;680;13
681;39364;681;65
682;1024;682;13
683;3076;683;39
684;9232;684;127
685;9232;685;127
686;9232;686;127
687;6964;687;39
688;688;688;34
689;9232;689;127
690;9232;690;127
691;9232;691;127
692;692;692;34
693;2080;693;34
694;9232;694;127
695;9232;695;127
696;696;696;34
697;9232;697;127
698;1048;698;34
699;3544;699;65
700;9232;700;83
701;9232;701;83
702;9232;702;83
703;250504;703;171
704;704;704;21
705;2116;705;34
706;9232;706;127
707;9232;707;127
708;708;708;34
709;2128;709;34
710;1600;710;34
711;4804;711;65
712;712;712;34
713;3616;713;26
714;1072;714;34
715;3220;715;26
716;808;716;34
717;2152;717;34
718;9232;718;52
719;9232;719;52
720;720;720;21
721;2164;721;47
722;2752;722;47
723;3256;723;47
724;724;724;21
725;2176;725;21
726;1636;726;47
727;4912;727;47
728;9232;728;96
729;2464;729;34
730;9232;730;96
731;9232;731;140
732;9232;732;96
733;9232;733;96
734;4192;734;47
735;11176;735;47
736;736;736;21
737;9232;737;140
738;1108;738;21
739;3328;739;21
740;740;740;47
741;2224;741;47
742;1672;742;47
743;14308;743;96
744;744;744;21
745;8080;745;91
746;1120;746;21
747;4264;747;47
748;952;748;47
749;2248;749;47
750;2536;750;47
751;21688;751;140
752;9232;752;109
753;2260;753;21
754;9232;754;65
755;9232;755;65
756;9232;756;109
757;9232;757;109
758;2752;758;60
759;5128;759;60
760;9232;760;109
761;2896;761;34
762;9232;762;109
763;9232;763;153
764;4372;764;47
765;4372;765;47
766;13120;766;47
767;39364;767;60
768;768;768;16
769;2308;769;34
770;1156;770;34
771;3472;771;34
772;9232;772;122
773;9232;773;122
774;9232;774;122
775;9232;775;153
776;9232;776;122
777;3940;777;34
778;9232;778;122
779;3508;779;60
780;9232;780;122
781;9232;781;122
782;9232;782;122
783;9232;783;122
784;784;784;29
785;9232;785;122
786;2248;786;60
787;3544;787;60
788;788;788;29
789;2368;789;29
790;9232;790;78
791;9232;791;78
792;792;792;29
793;9232;793;78
794;1192;794;29
795;39364;795;104
796;9232;796;122
797;9232;797;122
798;9232;798;122
799;12148;799;73
800;800;800;29
801;4372;801;60
802;1204;802;21
803;3616;803;21
804;1024;804;21
805;2416;805;21
806;1816;806;21
807;39364;807;73
808;808;808;29
809;9232;809;47
810;1216;810;29
811;9232;811;135
812;916;812;42
813;2440;813;42
814;2752;814;42
815;9232;815;135
816;816;816;29
817;2452;817;42
818;1384;818;42
819;3688;819;42
820;820;820;29
821;2464;821;29
822;9232;822;135
823;9232;823;135
824;9232;824;91
825;9232;825;135
826;9232;826;91
827;4192;827;42
828;9232;828;91
829;9232;829;91
830;9232;830;135
831;18952;831;135
832;832;832;16
833;2500;833;29
834;9232;834;135
835;9232;835;135
836;836;836;42
837;2512;837;42
838;1888;838;42
839;8080;839;86
840;840;840;42
841;4264;841;42
842;1264;842;42
843;3796;843;42
844;952;844;42
845;2536;845;42
846;3220;846;34
847;8584;847;34
848;848;848;16
849;9232;849;60
850;9232;850;60
851;9232;851;60
852;852;852;16
853;2560;853;16
854;2752;854;55
855;5776;855;55
856;9232;856;104
857;2896;857;29
858;9232;858;104
859;9232;859;148
860;9232;860;104
861;9232;861;104
862;4372;862;42
863;13120;863;42
864;9232;864;117
865;9232;865;148
866;1300;866;29
867;3904;867;29
868;868;868;29
869;2608;869;29
870;1960;870;29
871;190996;871;179
872;9232;872;117
873;9232;873;148
874;9232;874;117
875;3940;875;29
876;1672;876;55
877;2632;877;55
878;2968;878;55
879;10024;879;148
880;9232;880;117
881;9232;881;117
882;1492;882;29
883;3976;883;29
884;9232;884;117
885;9232;885;117
886;2248;886;55
887;5992;887;55
888;9232;888;73
889;21688;889;148
890;9232;890;73
891;8584;891;47
892;9232;892;73
893;9232;893;73
894;39364;894;99
895;39364;895;99
896;896;896;24
897;2752;897;68
898;9232;898;117
899;9232;899;117
900;4372;900;55
901;4372;901;55
902;4372;902;55
903;9232;903;117
904;904;904;16
905;5812;905;68
906;1360;906;16
907;13120;907;55
908;1024;908;16
909;2728;909;16
910;3076;910;42
911;9232;911;42
912;912;912;37
913;9232;913;130
914;9232;914;130
915;9232;915;130
916;916;916;37
917;2752;917;37
918;9232;918;130
919;9232;919;130
920;920;920;37
921;9232;921;130
922;1384;922;37
